"id","user_id","end_date","price","created_at","refund_id","point","target_customer"
2175,8202,"2019-11-04 00:00:00",49000,"2019-10-05 07:00:07.209008",NULL,NULL,"smallBiz"
2176,8660,"2019-11-04 00:00:00",9900,"2019-10-05 07:00:13.742624",NULL,NULL,"personal"
2177,8659,"2019-11-04 00:00:00",9900,"2019-10-05 07:00:15.048944",NULL,NULL,"personal"
2178,8667,"2019-11-04 00:00:00",9900,"2019-10-05 07:00:16.376989",NULL,NULL,"personal"
2183,9853,"2019-11-05 00:00:00",100,"2019-10-05 20:42:42.324042",NULL,NULL,"personal"
2249,8676,"2019-11-05 00:00:00",9900,"2019-10-06 07:00:06.808253",20,0,"middleBiz"
2250,8692,"2019-11-05 00:00:00",9900,"2019-10-06 07:00:08.135373",NULL,NULL,"personal"
2251,8699,"2019-11-05 00:00:00",9900,"2019-10-06 07:00:10.091767",NULL,NULL,"personal"
2254,9893,"2019-11-06 00:00:00",100,"2019-10-06 19:20:58.900101",NULL,NULL,"personal"
2257,9896,"2019-11-06 00:00:00",100,"2019-10-06 20:17:41.112017",NULL,NULL,"personal"
2286,9894,"2019-11-06 00:00:00",100,"2019-10-06 23:19:13.305364",NULL,NULL,"personal"
2290,7299,"2019-11-06 00:00:00",9900,"2019-10-07 07:00:07.676472",NULL,NULL,"personal"
2291,7401,"2019-11-06 00:00:00",9900,"2019-10-07 07:00:08.824493",NULL,NULL,"personal"
2292,7402,"2019-11-06 00:00:00",9900,"2019-10-07 07:00:09.959601",NULL,NULL,"personal"
2293,6379,"2019-11-06 00:00:00",9900,"2019-10-07 07:00:11.575643",NULL,NULL,"personal"
2301,8676,"2019-11-07 00:00:00",49000,"2019-10-07 12:45:05.939339",NULL,NULL,"smallBiz"
2333,8767,"2019-11-07 00:00:00",9900,"2019-10-08 07:00:07.788361",NULL,NULL,"personal"
2344,9876,"2019-11-08 00:00:00",100,"2019-10-08 18:50:43.016232",NULL,NULL,"personal"
2388,9986,"2019-11-08 00:00:00",100,"2019-10-08 20:36:08.916829",NULL,NULL,"personal"
2392,9990,"2019-11-08 00:00:00",100,"2019-10-08 21:46:49.979171",NULL,NULL,"personal"
2466,10013,"2019-11-09 00:00:00",100,"2019-10-09 15:20:00.776095",NULL,NULL,"personal"
2472,10022,"2019-11-09 00:00:00",100,"2019-10-09 18:10:29.578537",NULL,NULL,"personal"
2481,1227,"2019-11-09 00:00:00",100,"2019-10-09 20:49:55.404376",NULL,NULL,"personal"
2494,7244,"2019-11-09 00:00:00",9900,"2019-10-10 07:00:13.650079",NULL,NULL,"personal"
2495,8840,"2019-11-09 00:00:00",9900,"2019-10-10 07:00:15.056429",NULL,NULL,"personal"
2497,10058,"2019-11-10 00:00:00",100,"2019-10-10 10:14:58.215615",21,0,"middleBiz"
2500,9952,"2019-11-10 00:00:00",100,"2019-10-10 16:17:56.357847",NULL,NULL,"personal"
2503,10101,"2019-11-11 00:00:00",100,"2019-10-11 00:46:54.122314",NULL,NULL,"personal"
2507,8775,"2019-11-10 00:00:00",9900,"2019-10-11 07:00:07.559121",NULL,NULL,"personal"
2508,7586,"2019-11-10 00:00:00",9900,"2019-10-11 07:00:08.81982",NULL,NULL,"personal"
2509,8742,"2019-11-10 00:00:00",9900,"2019-10-11 07:00:10.352703",NULL,NULL,"personal"
2510,8831,"2019-11-10 00:00:00",9900,"2019-10-11 07:00:12.679683",NULL,NULL,"personal"
